JAR,Number of Correct APIs,Number of Wrong APIs,Failure Rate for APIs,Model Confidence for APIs,Hallucinations for APIs,API,Sample,Number of Correct FQNs,Number of Wrong FQNs,Failure Rate for FQNs,Model Confidence for Code and FQNs,Project Path,Build Status,Build Message,Hallucinations for FQNs
log4j-slf4j-impl-2.22.1.jar,0,1,1.0,0.6940785646438599,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
log4j-api-2.17.2.jar,0,6,1.0,0.6580817699432373,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
commons-lang3-3.12.0.jar,2,6,0.75,0.7144628763198853,Partially Present. Need manual review.,ArrayUtils,1,0,0,1,0.5456607937812805,N/A,failure,Model could not predict any correct FQNs.,True
commons-lang3-3.12.0.jar,2,6,0.75,0.7144628763198853,Partially Present. Need manual review.,ArrayUtils,2,0,1,1.0,0.6395312547683716,N/A,failure,Model could not predict any correct FQNs.,True
commons-lang3-3.12.0.jar,2,6,0.75,0.7144628763198853,Partially Present. Need manual review.,ArrayUtils,3,0,1,1.0,0.5155056715011597,N/A,failure,Model could not predict any correct FQNs.,True
commons-lang3-3.12.0.jar,2,6,0.75,0.7144628763198853,Partially Present. Need manual review.,ArrayUtils,4,0,2,1.0,0.5634257197380066,N/A,failure,Model could not predict any correct FQNs.,True
commons-lang3-3.12.0.jar,2,6,0.75,0.7144628763198853,Partially Present. Need manual review.,ArrayUtils,5,0,1,1.0,0.7206896543502808,N/A,failure,Model could not predict any correct FQNs.,True
commons-lang3-3.12.0.jar,2,6,0.75,0.7144628763198853,Partially Present. Need manual review.,EqualsBuilder,1,2,0,0.0,0.7216254472732544,Projects/commons-lang3-3.12.0/EqualsBuilder/sample_1/Wrapper/src/main/java/org/example,success,Build completed successfully.,False
commons-lang3-3.12.0.jar,2,6,0.75,0.7144628763198853,Partially Present. Need manual review.,EqualsBuilder,2,1,0,0.0,0.6437352299690247,Projects/commons-lang3-3.12.0/EqualsBuilder/sample_2/Wrapper/src/main/java/org/example,success,Build completed successfully.,False
commons-lang3-3.12.0.jar,2,6,0.75,0.7144628763198853,Partially Present. Need manual review.,EqualsBuilder,3,1,0,0.0,0.5436348915100098,Projects/commons-lang3-3.12.0/EqualsBuilder/sample_3/Wrapper/src/main/java/org/example,success,Build completed successfully.,False
commons-lang3-3.12.0.jar,2,6,0.75,0.7144628763198853,Partially Present. Need manual review.,EqualsBuilder,4,2,0,0.0,0.7885649800300598,Projects/commons-lang3-3.12.0/EqualsBuilder/sample_4/Wrapper/src/main/java/org/example,success,Build completed successfully.,False
commons-lang3-3.12.0.jar,2,6,0.75,0.7144628763198853,Partially Present. Need manual review.,EqualsBuilder,5,2,0,0.0,0.7120411396026611,Projects/commons-lang3-3.12.0/EqualsBuilder/sample_5/Wrapper/src/main/java/org/example,success,Build completed successfully.,False
slf4j-jdk14-1.7.36.jar,0,26,1.0,0.6872898936271667,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
spring-core-6.1.3.jar,0,5,1.0,0.6676127910614014,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hibernate-core-6.1.6.Final.jar,0,3,1.0,0.7245373129844666,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
commons-cli-1.5.0.jar,0,0,1,0.6896458268165588,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
spring-webmvc-5.3.23.jar,0,2,1.0,0.6807665824890137,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
mysql-connector-j-8.3.0.jar,0,12,1.0,0.7164268493652344,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
postgresql-42.3.3.jar,2,27,0.9310344827586207,0.7854811549186707,Partially Present. Need manual review.,PgConnection,1,1,3,0.75,0.6492205262184143,Projects/postgresql-42.3.3/PgConnection/sample_1/Wrapper/src/main/java/org/example,failure,Build failed. Full error log present.,Need manual review
postgresql-42.3.3.jar,2,27,0.9310344827586207,0.7854811549186707,Partially Present. Need manual review.,PgConnection,2,0,4,1.0,0.5623060464859009,Projects/postgresql-42.3.3/PgConnection/sample_1/Wrapper/src/main/java/org/example,failure,Model could not predict any correct FQNs.,True
postgresql-42.3.3.jar,2,27,0.9310344827586207,0.7854811549186707,Partially Present. Need manual review.,PgConnection,3,0,0,1,0.5282785296440125,Projects/postgresql-42.3.3/PgConnection/sample_1/Wrapper/src/main/java/org/example,failure,Model could not predict any correct FQNs.,True
postgresql-42.3.3.jar,2,27,0.9310344827586207,0.7854811549186707,Partially Present. Need manual review.,PgConnection,4,0,4,1.0,0.7330918908119202,Projects/postgresql-42.3.3/PgConnection/sample_1/Wrapper/src/main/java/org/example,failure,Model could not predict any correct FQNs.,True
postgresql-42.3.3.jar,2,27,0.9310344827586207,0.7854811549186707,Partially Present. Need manual review.,PgConnection,5,1,2,0.6666666666666666,0.4997478723526001,Projects/postgresql-42.3.3/PgConnection/sample_5/Wrapper/src/main/java/org/example,failure,Build failed. Full error log present.,Need manual review
