JAR,Number of Correct APIs,Number of Wrong APIs,Failure Rate for APIs,Model Confidence for APIs,Hallucinations for APIs,API,Sample,Number of Correct FQNs,Number of Wrong FQNs,Failure Rate for FQNs,Model Confidence for Code and FQNs,Project Path,Build Status,Build Message,Hallucinations for FQNs,Usages
log4j-slf4j-impl-2.22.1.jar,0,9,1.0,0.8514688611030579,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,415
log4j-api-2.17.2.jar,0,0,1.0,0.6509723663330078,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1620
commons-lang3-3.12.0.jar,0,0,1.0,0.7538517713546753,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8522
slf4j-jdk14-1.7.36.jar,0,0,1.0,0.7039700150489807,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10863
spring-core-6.1.3.jar,0,13,1.0,0.8296598792076111,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,515
hibernate-core-6.1.6.Final.jar,0,11,1.0,0.7736780047416687,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,DefaultParser,1,0,0,1,0.48555171489715576,N/A,failure,Model could not predict any correct FQNs.,True,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,DefaultParser,2,0,1,1.0,0.6349585056304932,N/A,failure,Model could not predict any correct FQNs.,True,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,DefaultParser,3,3,1,0.25,0.4797286093235016,Projects/commons-cli-1.5.0/DefaultParser/sample_3/Wrapper/src/main/java/org/example,failure,Build failed. Full error log present.,Need manual review,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,DefaultParser,4,0,1,1.0,0.5786047577857971,Projects/commons-cli-1.5.0/DefaultParser/sample_3/Wrapper/src/main/java/org/example,failure,Model could not predict any correct FQNs.,True,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,DefaultParser,5,5,0,0.0,0.5916633009910583,Projects/commons-cli-1.5.0/DefaultParser/sample_5/Wrapper/src/main/java/org/example,success,Build completed successfully.,False,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,Option,1,3,2,0.4,0.6936904788017273,Projects/commons-cli-1.5.0/Option/sample_1/Wrapper/src/main/java/org/example,failure,Build failed. Full error log present.,Need manual review,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,Option,2,0,1,1.0,0.5807398557662964,Projects/commons-cli-1.5.0/Option/sample_1/Wrapper/src/main/java/org/example,failure,Model could not predict any correct FQNs.,True,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,Option,3,0,1,1.0,0.5304712057113647,Projects/commons-cli-1.5.0/Option/sample_1/Wrapper/src/main/java/org/example,failure,Model could not predict any correct FQNs.,True,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,Option,4,0,1,1.0,0.5504826903343201,Projects/commons-cli-1.5.0/Option/sample_1/Wrapper/src/main/java/org/example,failure,Model could not predict any correct FQNs.,True,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,Option,5,0,1,1.0,0.6121276617050171,Projects/commons-cli-1.5.0/Option/sample_1/Wrapper/src/main/java/org/example,failure,Model could not predict any correct FQNs.,True,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,Options,1,6,0,0.0,0.7035345435142517,Projects/commons-cli-1.5.0/Options/sample_1/Wrapper/src/main/java/org/example,success,Build completed successfully.,False,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,Options,2,0,1,1.0,0.5830438733100891,Projects/commons-cli-1.5.0/Options/sample_1/Wrapper/src/main/java/org/example,failure,Model could not predict any correct FQNs.,True,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,Options,3,0,1,1.0,0.568352997303009,Projects/commons-cli-1.5.0/Options/sample_1/Wrapper/src/main/java/org/example,failure,Model could not predict any correct FQNs.,True,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,Options,4,0,1,1.0,0.5389503836631775,Projects/commons-cli-1.5.0/Options/sample_1/Wrapper/src/main/java/org/example,failure,Model could not predict any correct FQNs.,True,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,Options,5,5,0,0.0,0.550163984298706,Projects/commons-cli-1.5.0/Options/sample_5/Wrapper/src/main/java/org/example,success,Build completed successfully.,False,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,PosixParser,1,0,1,1.0,0.7138761878013611,Projects/commons-cli-1.5.0/Options/sample_5/Wrapper/src/main/java/org/example,failure,Model could not predict any correct FQNs.,True,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,PosixParser,2,0,1,1.0,0.526780366897583,Projects/commons-cli-1.5.0/Options/sample_5/Wrapper/src/main/java/org/example,failure,Model could not predict any correct FQNs.,True,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,PosixParser,3,6,2,0.25,0.6086658835411072,Projects/commons-cli-1.5.0/PosixParser/sample_3/Wrapper/src/main/java/org/example,failure,Build failed. Full error log present.,Need manual review,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,PosixParser,4,0,1,1.0,0.5604226589202881,Projects/commons-cli-1.5.0/PosixParser/sample_3/Wrapper/src/main/java/org/example,failure,Model could not predict any correct FQNs.,True,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,PosixParser,5,0,1,1.0,0.5668427348136902,Projects/commons-cli-1.5.0/PosixParser/sample_3/Wrapper/src/main/java/org/example,failure,Model could not predict any correct FQNs.,True,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,GnuParser,1,0,1,1.0,0.6185128092765808,Projects/commons-cli-1.5.0/PosixParser/sample_3/Wrapper/src/main/java/org/example,failure,Model could not predict any correct FQNs.,True,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,GnuParser,2,6,0,0.0,0.5634146332740784,Projects/commons-cli-1.5.0/GnuParser/sample_2/Wrapper/src/main/java/org/example,success,Build completed successfully.,False,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,GnuParser,3,0,0,1,0.6121541857719421,Projects/commons-cli-1.5.0/GnuParser/sample_2/Wrapper/src/main/java/org/example,failure,Model could not predict any correct FQNs.,True,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,GnuParser,4,0,1,1.0,0.6500197052955627,Projects/commons-cli-1.5.0/GnuParser/sample_2/Wrapper/src/main/java/org/example,failure,Model could not predict any correct FQNs.,True,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,GnuParser,5,2,1,0.3333333333333333,0.5719636678695679,Projects/commons-cli-1.5.0/GnuParser/sample_5/Wrapper/src/main/java/org/example,failure,Build failed. Full error log present.,Need manual review,1012
commons-cli-1.5.0.jar,11,7,0.3888888888888889,0.7746066451072693,Partially Present. Need manual review.,HelpFormatter,1,0,1,1.0,0.6423083543777466,Projects/commons-cli-1.5.0/GnuParser/sample_5/Wrapper/src/main/java/org/example,failure,Model could not predict any correct FQNs.,True,1012
